gene	Region enrichment in Frontal	Region enrichment in Mot.Som.	Region enrichment in Occipital	Region enrichment in Temporal	Gradient pattern	Subtype enrichment in vRG HMGA2 CCND1	Subtype enrichment in vRG SAT1 STMN2
TMPO	1	0	1	0	1-0-1-0	1	0
SAP30	1	0	1	0	1-0-1-0	1	0
LRPAP1	1	0	1	0	1-0-1-0	1	0
FZD2	1	0	1	0	1-0-1-0	1	0
HIST1H1B	1	0	1	0	1-0-1-0	1	0
HIST2H2AC	1	0	1	0	1-0-1-0	1	0
HIST1H1E	1	0	1	0	1-0-1-0	1	0
LOC114677671	1	0	1	0	1-0-1-0	1	0
HIST1H1D	1	0	1	0	1-0-1-0	1	0
HIST1H1A	1	0	1	0	1-0-1-0	1	0
SUPT16H	1	0	1	0	1-0-1-0	1	0
SMC1A	1	0	1	0	1-0-1-0	1	0
HINT2	1	0	1	0	1-0-1-0	1	0
RFC4	1	0	1	0	1-0-1-0	1	0
IMPA2	1	0	1	0	1-0-1-0	1	0
CLSPN	1	0	1	0	1-0-1-0	1	0
TAF10	1	0	1	0	1-0-1-0	1	0
SAFB	1	0	1	0	1-0-1-0	1	0
TMEM160	1	0	1	0	1-0-1-0	1	0
EIF5A	1	0	1	0	1-0-1-0	1	0
PLEKHA5	1	0	1	0	1-0-1-0	1	0
RBIS	1	0	1	0	1-0-1-0	1	0
RER1	1	0	1	0	1-0-1-0	1	0
MAZ	1	0	1	0	1-0-1-0	1	0
UQCC3	1	0	1	0	1-0-1-0	1	0
PRDX4	1	0	1	0	1-0-1-0	1	0
BAX	1	0	1	0	1-0-1-0	1	0
NPM1	1	0	1	0	1-0-1-0	1	0
VKORC1	1	0	1	0	1-0-1-0	1	0
RPS27A	1	0	1	0	1-0-1-0	1	0
KCNQ2	1	0	1	0	1-0-1-0	1	0
CD81	1	0	1	0	1-0-1-0	1	0
UBE2S	1	0	1	0	1-0-1-0	1	0
LOC714598	1	0	1	0	1-0-1-0	1	0
GAMT	1	0	1	0	1-0-1-0	1	0
ARL2	1	0	1	0	1-0-1-0	1	0
NUTF2	1	0	1	0	1-0-1-0	1	0
TIMM13	1	0	1	0	1-0-1-0	1	0
ARL6IP4	1	0	1	0	1-0-1-0	1	0
BOD1L1	1	0	1	0	1-0-1-0	1	0
MIS18BP1	1	0	1	0	1-0-1-0	1	0
IKBIP	1	0	1	0	1-0-1-0	1	0
MRPL41	1	0	1	0	1-0-1-0	1	0
METRN	1	0	1	0	1-0-1-0	1	0
PRIMPOL	1	0	1	0	1-0-1-0	1	0
COX5B	1	0	1	0	1-0-1-0	1	0
EEF1A1	1	0	1	0	1-0-1-0	1	0
LOC109910387	1	0	1	0	1-0-1-0	1	0
LOC106996680	1	0	1	0	1-0-1-0	1	0
LOC106995245	1	0	1	0	1-0-1-0	1	0
JUND	1	0	1	0	1-0-1-0	1	0
LY6H	1	0	1	0	1-0-1-0	1	0
HIST1H2AH	1	0	1	0	1-0-1-0	1	0
LOC705400	1	0	1	0	1-0-1-0	1	0
CCDC85B	1	0	1	0	1-0-1-0	1	0
IFI27L2	1	0	1	0	1-0-1-0	1	0
JUN	1	0	1	0	1-0-1-0	1	0
LOC713582	0	1	1	0	0-1-1-0	1	0
LAPTM4B	0	1	1	0	0-1-1-0	1	0
PCDH17	0	1	1	0	0-1-1-0	1	0
C1H1orf21	0	1	1	0	0-1-1-0	1	0
PDLIM3	0	1	1	0	0-1-1-0	1	0
CA14	0	1	1	0	0-1-1-0	1	0
EPHA3	0	1	1	0	0-1-1-0	1	0
ACTR3B	0	1	1	0	0-1-1-0	1	0
NCAM1	0	1	1	0	0-1-1-0	1	0
PDPN	0	1	1	0	0-1-1-0	1	0
LOC106997723	0	1	1	0	0-1-1-0	1	0
STMN4	0	1	1	0	0-1-1-0	1	0
GABRB2	0	1	1	0	0-1-1-0	1	0
FGFR3	0	1	1	0	0-1-1-0	1	0
NR2F1	0	1	1	1	0-1-1-1	0	1
LMO2	0	1	1	1	0-1-1-1	0	1
FGFR3	0	1	1	1	0-1-1-1	0	1
