E42_FC_early	E42_FC_late	E42_FC_mid	E42_OC_early	E42_OC_late	E42_OC_mid	E77_FC_early	E77_FC_late	E77_FC_mid	E77_OC_early	E77_OC_late	E77_OC_mid
FREM1	NUPR1	GSN	LOC106994684	GPR22	DUOX1	LOC114677516	SULF1	CFAP99	SLC13A5	CDH3	SLC1A1
ITM2A	PLA2R1	FGL2	LOC114674876	CCDC88C	LOC114672034	SPAG8	GADD45A	SPP1	KCNJ11	LOC114679021	SLC7A10
FOXD1	LTBR	EPHA7	DMRT3	CAPG	CLIC6	EMB	GPR37L1	LIF	PHACTR1	DOC2B	APOD
TGFB3	ADORA2A	PTGDS	SYTL5	WNT8B	BHLHE22	F5	TCTEX1D1	SPEF1	LOC106993873	MYZAP	TRNAE-UUC-11
ITGA5	EPHA7	LOC695267	CHRM1	SLC1A6	CCN1	CASP8	RCAN2	SEZ6	PLP1	ICA1	LOC114673926
PDGFRB	ADAMTS9	LOC720345	SYN3	RPS6KL1	CHRNA4	GPR1	CDK6	EMP1	IGLON5	SLC8A2	LOC114672315
AEBP1	ZFHX3	KANK2	LOC106993754	NKAIN4	AFAP1L1	SYNM	ZIC3	CBLN2	LOC107000561	SNX25	CALY
S1PR2	CCN2	IGFBP5	CD226	PODXL	TAC3	DNAH12	FXYD1	CHRNB4	B3GAT1	GRM5	ANKRD33B
KIRREL1	COL4A5	DLK1	LOC696937	LOC114677701	MIR181D	TWIST1	LOC107000989	GPC3	ELFN2	EDNRA	LOC714675
SERPINF1	CALB2	ABCG2	LOC107000532	KLHL35	LRP8	TMEM144	SPINK2	SEMA3B	KHDRBS2	ITGA9	VSTM2B
KCNA1	AOX1	STRA6	GABRG1	C1QL2	TNFRSF25	IL13RA1	CRABP1	COL12A1	TKTL1	RIMBP2	PTH1R
CYTL1	P4HA3	MDFI	PIP5K1B	LOC106998831	AGER	OSBPL10	EFNA3	SLC22A18	PCSK1N	NTNG2	LOC106999049
CALHM2	LAMC1	SERPINF1	LOC106998872	PCSK2	EYA4	PDLIM1	ADCYAP1	USP43	SLC22A3	LOC106992915	C1QL2
NPAS2	RASSF8	LTBR	FBXO43	PRSS55	LOC114671893	LTBP2	BHLHE41	LRRC23	SOX13	SCUBE2	RIMBP2
LRRK1	FOXC1	CRISPLD2	SLITRK1	BEGAIN	ARL9	LOC720345	PARM1	ENPP2	TMEM229A	TRIM67	
SHROOM4	FRMD6	FOXP1	TAF4B	LOC106995018	CLVS1	ALDH1A3	MYO1B	NRP1	ISLR2	ALPL	
CEBPB	ADAM19	ETS1	UGT8	DAB1	LOC114677091	GCNT1	STRIP2	NUAK1	DLC1	PDXK	
AFAP1L2	STC2	ADGRD1	LOC114671803	KCNN3	CAPS2	DNM1	AK7	LOC720132	KCNQ3	TMOD1	
ZIC3	COL1A1	PEAR1	PPP1R17	MPP3	ARPP21	SEMA3D	CEP126	AHNAK2	GAL3ST1	LOC711872	
COL16A1	PKDCC	PDGFRL	KCTD8	LOC114670458	LOC114671787	LOC106999572	HOPX	LOC106993196	POU6F2	PLPP4	
ELF4	FKBP10	SPATS2L	EVA1C	LOC106995056	LOC114670369	NDNF	MAPK15	CPNE8	FSTL5	RASGEF1B	
SLC1A5	FBLN1	IFI16	LOC114672286	PLCH2	LOC114672322	RCAN2	USP43	FRMD3	LOC114669865	LOC114671812	
AKAP12	FNDC5	PRDM6	NTSR1	LOC106999866	PPP1R17	ACOX2	CFAP157	B3GLCT	LOC106993889	LOC106999928	
SPARCL1	GPX8	SYNPO2	LOC114671812	C1GALT1	MIRLET7D	ITGA1	TWIST1	RBM20	PTH1R	PDIA2	
TMEM200B	TESC	CCBE1	SLC16A10	NRARP	MFSD2A	LRRC14B	TRIM22	CFAP52	LOC114676795	LHFPL3	
IFI16	SEC24D	MMP19	ARID3C	CNTN3	PRRT2	NOS1AP	MSC	SOD3	DUSP26	LOC106993924	
DOCK6	SLC7A8	GPRC5B	GRIP2	UNC5A	TMEM233	CFAP65	SLC6A15	ZNF185	LMO1	PRKCB	
B3GNT9	NR3C1	ITPR2	C5H4orf45	LMO1	LOC114671956	FMN2	MBNL3	ENO4	COL26A1	CREB3L1	
FBLN2	PGM5	C20H16orf89	SEZ6L	TMEM178A	LOC106994417	EFHB	DCDC1	DNAH1	SPON1	SNX22	
CAVIN3	LOC698300	SHROOM4	CCER2	PTX3	NOXA1	ANK1	CFAP61	SEMA3C	WDR86	RND2	
EBF2	PDGFRA	SSPN	OLIG2	LOC706126	LOC100426130	CDCP1	GCNT1	RBMS1	GAS2L2	LOC695923	
COL26A1	FCGRT	C2	LONRF2	PHYHIP	LOC114673864	B3GALT1	NXPH4	MAK	FRMPD1	NOG	
FLI1	GYPC	ADAM12	TSSK4	PDZD7	CAPG	SPEF2	CFAP52	ITPR1	ID2	LOC107000508	
CCDC3	OSR1	COL4A6	ABCB11	NKAIN2	LOC114670003	HSPA12A	LRRC14B	GRIN2C	METRNL	SHD	
DACT1	KDELR3	HSPA12B	CSMD3	PTCH2	NEUROD2	DAW1	MEF2C	SPAG6	SYT7	AFAP1L1	
BNC2	MMP17	LRP1	LRATD2	RBM24	SV2C	PTCHD1	DNAH2	RSPH1	NKAIN4	DOCK10	
GPRC5C	PERP	ADAM33	LPAR3	INHBB	MIR124A-2	VWA3B	CNMD	RGS4	LGR5	LRRTM1	
PIEZO1	TXNDC5	ECM2	LOC114673564	SSTR2	LOC114672553	NFASC	LIF	RNF128	SEMA4A	VAX2	
VCAM1	RAMP2	COL8A1	LOC114678755	PALM2	TAF4B	PSRC1	TMEM74	C1H1orf158	MGARP	MIR219-2	
KANK2	FAM129A	LOC696140	RIMKLA	OCIAD2	NHLH2	JADE2	ADAMTS12	COL5A3	LOC695923	NINJ2	
MYL9	NHS	DSE	LOC106998741	PYGL	MIRLET7B	BNC2	CFAP43	PLP2	LOC715954	ADAMTS8	
LOXL1	OLFML1	RUNX1	LOC106998092	BHLHE22	SGCG	PFKP	DSC2	RBM47	LHFPL1	ADIRF	
GDF15	GXYLT2	LOC709635	LOC114670570	CHRM1	NPY	KCTD12	LOXL1	SPOCK2	GABRG1	SLC30A2	
RCSD1	FGL2	MEOX2	HDC	NEUROD1	CUX2	INPP5D	WNT5A	AK7	CSGALNACT1	LOC114677553	
SPSB1	ITPR2	ADAMTS5	MAST1	SCN1A	LOC114676589	ANXA2	LOC106996171	ANKUB1	LIX1	GASK1A	
LOC106997086	FLNB	PHLDB2	FBXL16	GPR21	LOC106997885	LAMB1	CCDC39	AKAP14	LOC114671105	FBLN2	
